date,year,season,location,sampleID,sampleID.prefix,microhabitat,depth,per_sediment,per_rock,per_organic,dateTime.UTC,lat,long,alt,pH,wTemp,DO,light,flow,turb,cond,nitrate,alkalinity,mon.precip,bi.precip,mon.ADD
10/2/2018,2018,Fall,Upstream,02URFA18.USR,02URFA18,USR,41.5,7.5,90,2.5,2018-10-02T17:45:00Z,NA,NA,NA,7.22,NA,NA,NA,NA,12.6,100.5,NA,NA,242.1,133.1,547.8
10/2/2018,2018,Fall,Upstream,02URFA18.USU,02URFA18,USU,30.5,55,44,1,2018-10-02T17:45:00Z,NA,NA,NA,7.42,NA,NA,NA,NA,12.3,92.9,NA,NA,242.1,133.1,547.8
5/28/2019,2019,Summer,Downstream,01DRSU19.DFR,01DRSU19,DFR,22.5,5,94,1,2019-05-28T14:19:00Z,42.3151,-72.641135,62,7.48,17,10.23,56,0.1565,6.75,127.4,NA,NA,69.8,17.3,384.75
5/28/2019,2019,Summer,Downstream,01DRSU19.DM,01DRSU19,DM,22.75,20,78,2,2019-05-28T16:08:00Z,42.315075,-72.641115,63,7.47,16.9,10.295,62,0.2935,9.9,128.55,NA,NA,69.8,17.3,384.75
5/28/2019,2019,Summer,Downstream,01DRSU19.DSH,01DRSU19,DSH,19.25,17.5,79,3.5,2019-05-28T15:05:00Z,42.31507,-72.640965,71,7.475,17.1,10.275,37.5,0.587,10.25,126.65,NA,NA,69.8,17.3,384.75
5/28/2019,2019,Summer,Downstream,01DRSU19.DSP,01DRSU19,DSP,16.75,7.5,91,1.5,2019-05-28T15:36:00Z,42.33036,-72.64107,37,7.49,16.9,10.315,106,0.3195,7.65,127.325,NA,NA,69.8,17.3,384.75
5/28/2019,2019,Summer,Downstream,01DRSU19.DSR,01DRSU19,DSR,22.5,9.5,89.5,1,2019-05-28T13:40:00Z,42.31493,-72.641015,45.5,7.46,16.9,10.1,64,0.1865,6.95,128.05,NA,NA,69.8,17.3,384.75
5/30/2019,2019,Summer,Upstream,01URSU19.UFR,01URSU19,UFR,38.15,17.5,81,1.5,2019-05-30T14:14:00Z,42.31933,-72.65465,51,7.545,13.3,11.105,39.5,0.0815,4.35,120.8,NA,NA,75.9,27.5,396.65
5/30/2019,2019,Summer,Upstream,01URSU19.UM,01URSU19,UM,29.75,27,72.5,0.5,2019-05-30T14:40:00Z,42.31936,-72.65479,71.5,7.555,13.4,NA,142.5,0.325,6.6,116.8,NA,NA,75.9,27.5,396.65
5/30/2019,2019,Summer,Upstream,01URSU19.USH,01URSU19,USH,42.75,20.5,79.5,0,2019-05-30T15:20:00Z,42.32038,-72.653755,50.5,7.575,13.5,NA,73,0.551,6.55,107.85,NA,NA,75.9,27.5,396.65
5/30/2019,2019,Summer,Upstream,01URSU19.USR,01URSU19,USR,34,15,77.5,7.5,2019-05-30T13:41:00Z,42.319245,-72.654875,55.5,7.52,13.2,11.02,64.5,0.1075,6.4,120.15,NA,NA,75.9,27.5,396.65
5/30/2019,2019,Summer,Upstream,01URSU19.USU,01URSU19,USU,24.15,10,89,1,2019-05-30T15:45:00Z,42.32038,-72.653535,65,7.57,13.5,NA,75,0.4565,5.1,107.7,NA,NA,75.9,27.5,396.65
5/31/2019,2019,Summer,Upstream,02URSU19.UFR,02URSU19,UFR,41.25,14,84.5,1.5,2019-05-31T14:00:00Z,42.3193,-72.654755,61,7.57,14.5,10.355,50,0.1565,5.9,120.95,NA,NA,78.7,30.3,403.3
5/31/2019,2019,Summer,Upstream,02URSU19.UM,02URSU19,UM,42.9,21,77.5,1.5,2019-05-31T14:24:00Z,42.31937,-72.65486,59,7.625,14.8,10.45,280.5,0.4725,3.7,116.95,NA,NA,78.7,30.3,403.3
5/31/2019,2019,Summer,Upstream,02URSU19.USH,02URSU19,USH,24.65,17.5,84.5,1,2019-05-31T14:57:00Z,42.32045,-72.653845,63,7.64,14.9,10.365,125,0.2695,3.15,109.45,NA,NA,78.7,30.3,403.3
5/31/2019,2019,Summer,Upstream,02URSU19.USR,02URSU19,USR,29.35,15,84.5,0.5,2019-05-31T13:36:00Z,42.319245,-72.654815,64,7.55,14.4,10.27,112.5,0.123,5.75,121.7,NA,NA,78.7,30.3,403.3
5/31/2019,2019,Summer,Upstream,02URSU19.USU,02URSU19,USU,18.9,7.5,92.5,0,2019-05-31T15:20:00Z,42.320455,-72.653605,50,7.645,15,10.365,180,0.3145,4.3,109.35,NA,NA,78.7,30.3,403.3
6/3/2019,2019,Summer,Downstream,02DRSU19.DFR,02DRSU19,DFR,30.75,10,88.5,1.5,2019-06-03T14:11:00Z,42.315095,-72.64112,47,7.5,15.95,9.885,522.5,0.3285,7.1,130.1,NA,NA,65.2,25.4,427.7
6/3/2019,2019,Summer,Downstream,02DRSU19.DSH,02DRSU19,DSH,21.5,17,82,1,2019-06-03T15:05:00Z,42.31533,-72.641115,43,7.51,16.25,9.865,139.5,0.398,7.25,129.5,NA,NA,65.2,25.4,427.7
6/3/2019,2019,Summer,Downstream,02DRSU19.DSP,02DRSU19,DSP,22,20,80,0,2019-06-03T15:32:00Z,42.31542,-72.64118,51.5,7.56,16.3,9.84,1097.5,0.403,7.3,129.3,NA,NA,65.2,25.4,427.7
6/3/2019,2019,Summer,Downstream,02DRSU19.DSR,02DRSU19,DSR,24.5,3.5,91.5,5,2019-06-03T13:39:00Z,42.315055,-72.64113,48.5,7.47,15.8,9.875,56.5,0.155,7.65,130.95,NA,NA,65.2,25.4,427.7
6/4/2019,2019,Summer,Downstream,03DRSU19.DFR,03DRSU19,DFR,22.75,18.5,77.5,4,2019-06-04T14:05:00Z,42.315005,-72.64135,72,7.435,14.6,10.26,76.5,0.4195,6.25,125.4,NA,NA,62.4,23.9,424.65
6/4/2019,2019,Summer,Downstream,03DRSU19.DM,03DRSU19,DM,24.25,15,81.5,1,2019-06-04T14:27:00Z,42.31514,-72.64115,55,7.445,14.5,10.22,1176,0.151,5.6,124.5,NA,NA,62.4,23.9,424.65
6/4/2019,2019,Summer,Downstream,03DRSU19.DSH,03DRSU19,DSH,18.75,15,80.5,4.5,2019-06-04T14:56:00Z,42.315335,-72.641185,50.5,7.48,14.9,10.265,48,0.4795,8.35,127.15,NA,NA,62.4,23.9,424.65
6/4/2019,2019,Summer,Downstream,03DRSU19.DSR,03DRSU19,DSR,18.25,12.5,85.5,2,2019-06-04T13:30:00Z,42.314885,-72.64111,36.5,7.435,14.5,10.24,55,0.121,7.55,126.25,NA,NA,62.4,23.9,424.65
6/5/2019,2019,Summer,Upstream,03URSU19.UFR,03URSU19,UFR,37.7,5,91,4,2019-06-05T14:02:00Z,42.319215,-72.65461,64.5,7.705,15.1,10.325,48.5,0.0065,4.95,136.5,NA,NA,59.9,23.9,429.1
6/5/2019,2019,Summer,Upstream,03URSU19.UM,03URSU19,UM,24.6,7,91.5,1.5,2019-06-05T14:48:00Z,42.31934,-72.654835,63.5,7.755,15.35,10.37,390,0.2265,3.85,132.4,NA,NA,59.9,23.9,429.1
6/5/2019,2019,Summer,Upstream,03URSU19.USH,03URSU19,USH,29.05,15,84.5,0.5,2019-06-05T15:17:00Z,42.320535,-72.6337,58,7.76,15.7,10.315,97.5,0.175,5.7,120.85,NA,NA,59.9,23.9,429.1
6/5/2019,2019,Summer,Upstream,03URSU19.USR,03URSU19,USR,18.2,22.5,74,3.5,2019-06-05T13:36:00Z,42.319195,-72.65484,53.5,7.67,15.1,10.315,162.5,0.047,4.1,137.25,NA,NA,59.9,23.9,429.1
6/5/2019,2019,Summer,Upstream,03URSU19.USU,03URSU19,USU,25.2,15,83,2,2019-06-05T15:37:00Z,42.32037,-72.653595,50.5,7.76,15.9,10.295,1271.5,0.4305,5.7,121.9,NA,NA,59.9,23.9,429.1
9/16/2019,2019,Fall,Upstream,01URFA19.UFR,01URFA19,UFR,34,24,72.5,5,2019-09-16T18:05:00Z,42.3103,-72.65462,54,8.08,17.3,10.45,NA,NA,6.633333333,197.0333333,NA,NA,68.3,18.5,562.45
9/16/2019,2019,Fall,Upstream,01URFA19.UM,01URFA19,UM,15.75,6,91.5,2.5,2019-09-16T18:05:00Z,42.31929,-72.65477,65,8.14,17.5,10.43,NA,NA,4.866666667,195.9666667,NA,NA,68.3,18.5,562.45
9/16/2019,2019,Fall,Upstream,01URFA19.USH,01URFA19,USH,45.25,27.5,57.5,15,2019-09-16T18:10:00Z,42.32043,-72.65364,71,8.11,17.3,10.35,NA,NA,4.6,198.9,NA,NA,68.3,18.5,562.45
9/16/2019,2019,Fall,Upstream,01URFA19.USR,01URFA19,USR,18.75,25,37.5,7.5,2019-09-16T18:04:00Z,42.31021,-72.6547,51,8.05,17.2,10.38,NA,NA,12.33333333,196.0333333,NA,NA,68.3,18.5,562.45
9/16/2019,2019,Fall,Upstream,01URFA19.USU,01URFA19,USU,9,21.5,75.5,4,2019-09-16T18:14:00Z,42.32042,-7265350,31,8.11,17.3,10.37,NA,NA,5.766666667,192.0333333,NA,NA,68.3,18.5,562.45
9/17/2019,2019,Fall,Downstream,01DRFA19.DFR,01DRFA19,DFR,17,47.5,45,7.5,2019-09-17T18:00:00Z,42.31504,-72.64114,44,7.48,19.1,9.83,NA,NA,10.6,204.6,NA,NA,51.8,14.9,552.75
9/17/2019,2019,Fall,Downstream,01DRFA19.DM,01DRFA19,DM,20.25,7.5,91,1.5,2019-09-17T17:49:00Z,42.31509,-72.64103,41,7.48,19.2,9.91,NA,NA,14.1,211.3666667,NA,NA,51.8,14.9,552.75
9/17/2019,2019,Fall,Downstream,01DRFA19.DSH,01DRFA19,DSH,15.25,22.5,75,2.5,2019-09-17T17:49:00Z,42.31531,-72.6412,53,7.48,19.3,10.03,NA,NA,7.833333333,203.6666667,NA,NA,51.8,14.9,552.75
9/17/2019,2019,Fall,Downstream,01DRFA19.DSP,01DRFA19,DSP,14.25,16.5,81.5,2,2019-09-17T17:50:00Z,42.31532,-72.64103,43,7.51,19.2,9.91,NA,NA,9.233333333,204.3666667,NA,NA,51.8,14.9,552.75
9/17/2019,2019,Fall,Downstream,01DRFA19.DSR,01DRFA19,DSR,19.75,30,55,15,2019-09-17T17:48:00Z,42.31507,-72.64112,40,7.43,19,9.73,NA,NA,8.666666667,206.0666667,NA,NA,51.8,14.9,552.75
9/23/2019,2019,Fall,Downstream,02DRFA19.DFR,02DRFA19,DFR,14.6,22.5,67.5,10,2019-09-23T17:35:00Z,NA,NA,47,7.57,19.7,9.9,NA,NA,8.1,219.7666667,NA,NA,37,5.8,509.2
9/23/2019,2019,Fall,Downstream,02DRFA19.DSH,02DRFA19,DSH,20.5,15,57.5,27.5,2019-09-23T17:34:00Z,NA,NA,47,7.58,19.5,10.03,NA,NA,7.366666667,219.3,NA,NA,37,5.8,509.2
9/23/2019,2019,Fall,Downstream,02DRFA19.DSP,02DRFA19,DSP,4,20,62.5,12.5,2019-09-23T17:36:00Z,NA,NA,43,7.56,19.5,10,NA,NA,7.966666667,217.9666667,NA,NA,37,5.8,509.2
9/23/2019,2019,Fall,Downstream,02DRFA19.DSR,02DRFA19,DSR,18.25,35.5,62.5,2,2019-09-23T17:35:00Z,NA,NA,47,7.56,20,9.7,NA,NA,22.56666667,221.5666667,NA,NA,37,5.8,509.2
9/24/2019,2019,Fall,Upstream,02URFA19.UFR,02URFA19,UFR,28.5,20,76.5,3.5,2019-09-24T18:00:00Z,42.31936,-72.65463,61,8.06,18.3,10.44,NA,NA,6.533333333,211.2,NA,NA,38.5,7.3,515.05
9/24/2019,2019,Fall,Upstream,02URFA19.UM,02URFA19,UM,14.5,15,45,37.5,2019-09-24T17:57:00Z,42.31937,-72.6548,51,8.2,18.4,10.55,NA,NA,4.566666667,214.3666667,NA,NA,38.5,7.3,515.05
9/24/2019,2019,Fall,Upstream,02URFA19.USH,02URFA19,USH,47,12.5,72.5,15,2019-09-24T17:55:00Z,42.32052,-72.65364,61,8.1,18.3,10.22,NA,NA,4.966666667,213.1333333,NA,NA,38.5,7.3,515.05
9/24/2019,2019,Fall,Upstream,02URFA19.USR,02URFA19,USR,16.75,35,57.5,7.5,2019-09-24T17:55:00Z,42.31921,-72.65492,71,7.75,18,10.08,NA,NA,16.46666667,222.3666667,NA,NA,38.5,7.3,515.05
9/24/2019,2019,Fall,Upstream,02URFA19.USU,02URFA19,USU,26,30,62.5,7.5,2019-09-24T17:52:00Z,42.32037,-72.65355,74,8.12,18.4,9.98,NA,NA,6.866666667,212.2,NA,NA,38.5,7.3,515.05
9/26/2019,2019,Fall,Downstream,03DRFA19.DFR,03DRFA19,DFR,17,22.5,70,7.5,2019-09-26T18:04:00Z,NA,NA,NA,7.42,NA,NA,NA,NA,12.06666667,214.6,NA,NA,38.5,7.3,513.7
9/26/2019,2019,Fall,Downstream,03DRFA19.DM,03DRFA19,DM,11,25,70,5,2019-09-26T18:04:00Z,NA,NA,NA,7.4,NA,NA,NA,NA,9.5,219.2,NA,NA,38.5,7.3,513.7
9/26/2019,2019,Fall,Downstream,03DRFA19.DSH,03DRFA19,DSH,14.5,22.5,72.5,5,2019-09-26T18:04:00Z,NA,NA,NA,7.4,NA,NA,NA,NA,14.63333333,217.2,NA,NA,38.5,7.3,513.7
9/26/2019,2019,Fall,Downstream,03DRFA19.DSP,03DRFA19,DSP,14.75,22.5,75,2.5,2019-09-26T18:08:00Z,NA,NA,NA,7.36,NA,NA,NA,NA,16.56666667,218.2333333,NA,NA,38.5,7.3,513.7
9/26/2019,2019,Fall,Downstream,03DRFA19.DSR,03DRFA19,DSR,15.5,17.5,81.5,1,2019-09-26T18:06:00Z,NA,NA,NA,7.45,NA,NA,NA,NA,27.23333333,219.1666667,NA,NA,38.5,7.3,513.7
10/3/2019,2019,Fall,Upstream,03URFA19.UM,03URFA19,UM,25.5,20,72.5,7.5,2019-10-03T17:55:00Z,NA,NA,NA,7.96,NA,NA,NA,NA,7.5,218.5666667,NA,NA,25.3,10.4,495.95
10/3/2019,2019,Fall,Upstream,03URFA19.USH,03URFA19,USH,43.25,15,77.5,12.5,2019-10-03T17:50:00Z,NA,NA,NA,7.98,NA,NA,NA,NA,9.2,219.725,NA,NA,25.3,10.4,495.95
10/3/2019,2019,Fall,Upstream,03URFA19.USR,03URFA19,USR,29,10,55,10,2019-10-03T17:55:00Z,NA,NA,NA,8,NA,NA,NA,NA,11.35,218.475,NA,NA,25.3,10.4,495.95
10/3/2019,2019,Fall,Upstream,03URFA19.USU,03URFA19,USU,12,52.5,37.5,10,2019-10-03T17:55:00Z,NA,NA,NA,7.95,NA,NA,NA,NA,10.46666667,217.3,NA,NA,25.3,10.4,495.95
6/5/2020,2020,Summer,Upstream,01URSU20.UFR,01URSU20,UFR,31.5,12,82.5,3,2020-06-05T18:20:00Z,42.31933612,-72.65475864,45.59878052,8.12,20.1,10.45839551,99.3852837,5.00E-04,2.25,157.8,NA,NA,25.8,3.8,429.65
6/5/2020,2020,Summer,Upstream,01URSU20.UM,01URSU20,UM,28,37.5,61.5,1,2020-06-05T17:44:00Z,42.31917941,-72.65465462,62.72514144,8.11,19.8,10.49733918,637.8037884,0.11315,0.95,156.45,NA,NA,25.8,3.8,429.65
6/5/2020,2020,Summer,Upstream,01URSU20.USH,01URSU20,USH,17.25,25,70,5,2020-06-05T19:00:00Z,42.32047008,-72.65372257,70.28418291,8.04,20.4,10.1511708,149.5222047,0.05425,0.95,144.25,NA,NA,25.8,3.8,429.65
6/5/2020,2020,Summer,Upstream,01URSU20.USR,01URSU20,USR,28.25,5,82.5,12.5,2020-06-05T16:50:00Z,42.31917079,-72.65484843,50.95975643,8.02,19.3,10.44,169,0,3.45,162.05,NA,NA,25.8,3.8,429.65
6/5/2020,2020,Summer,Upstream,01URSU20.USU,01URSU20,USU,15.5,30,65,5,2020-06-05T19:31:00Z,42.32046628,-72.65369286,54.80097865,7.97,20.7,9.843183241,467.6684467,0.14245,1.75,144.4,NA,NA,25.8,3.8,429.65
6/6/2020,2020,Summer,Downstream,01DRSU20.DFR,01DRSU20,DFR,18.5,12,86,2,2020-06-06T15:10:00Z,42.31501547,-72.64116613,43.04634169,7.42,22.6,9.287265633,1148.395982,0.1724,6.8,159,NA,NA,25.8,3,445.2
6/6/2020,2020,Summer,Downstream,01DRSU20.DM,01DRSU20,DM,15.5,10,88,2,2020-06-06T15:30:00Z,42.31525924,-72.64110975,53.99024387,7.45,22.4,9.286555929,1207.833401,0,6.2,158.6,NA,NA,25.8,3,445.2
6/6/2020,2020,Summer,Downstream,01DRSU20.DSH,01DRSU20,DSH,14,10,90,0,2020-06-06T15:50:00Z,42.31519262,-72.64115403,49.44390199,7.43,22.6,9.365845636,39.77487254,0.3985,2.9,158.8,NA,NA,25.8,3,445.2
6/6/2020,2020,Summer,Downstream,01DRSU20.DSP,01DRSU20,DSP,15,20,75,5,2020-06-06T16:20:00Z,42.3153908,-72.64115273,45.79268237,7.44,22.5,9.202787201,1430.890283,0.2398,2.4,160.5,NA,NA,25.8,3,445.2
6/6/2020,2020,Summer,Downstream,01DRSU20.DSR,01DRSU20,DSR,19,9,90,1,2020-06-06T14:40:00Z,42.31485813,-72.64114231,41.17073161,7.43,22,9.456971629,1230.941595,0.0829,2.2,160.3,NA,NA,25.8,3,445.2
6/7/2020,2020,Summer,Downstream,02DRSU20.DFR,02DRSU20,DFR,16.4,15,70,15,2020-06-07T18:28:00Z,42.31507753,-72.64116669,48,7.19,20.4,8.972204372,97.97916856,0.0768,8.1,180.7,NA,NA,27.3,4.5,454.65
6/7/2020,2020,Summer,Downstream,02DRSU20.DM,02DRSU20,DM,16.1,3,95,2,2020-06-07T19:00:00Z,42.31512088,-72.64111403,46.64878064,7.21,20.4,9.060270753,116.2497942,0.0728,10,180.6,NA,NA,27.3,4.5,454.65
6/7/2020,2020,Summer,Downstream,02DRSU20.DSH,02DRSU20,DSH,16.8,5,95,0,2020-06-07T19:15:00Z,42.31530681,-72.64121809,47.13157935,7.2,20.1,9.121988651,46.12248118,0.1386,12.7,179.1,NA,NA,27.3,4.5,454.65
6/7/2020,2020,Summer,Downstream,02DRSU20.DSP,02DRSU20,DSP,11.9,30,65,5,2020-06-07T19:45:00Z,42.31550905,-72.64113933,56.32682893,7.26,20.1,9.262709875,161.1913637,0.07,9.5,181.2,NA,NA,27.3,4.5,454.65
